2016-02-15T20:03:22.417+0800: 5999.131: [GC [PSYoungGen: 1376976K->16592K(1379968K)] 1524396K->164245K(4176192K), 0.0336010 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T20:04:08.398+0800: 6045.112: [GC [PSYoungGen: 1378576K->16992K(1379008K)] 1526229K->164882K(4175232K), 0.0304090 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T20:04:56.651+0800: 6093.365: [GC [PSYoungGen: 1378976K->14752K(1379840K)] 1526866K->162846K(4176064K), 0.0271460 secs] [Times: user=0.04 sys=0.01, real=0.03 secs] 
2016-02-15T20:05:47.556+0800: 6144.270: [GC [PSYoungGen: 1376352K->15136K(1379840K)] 1524446K->163419K(4176064K), 0.0277220 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T20:06:38.151+0800: 6194.866: [GC [PSYoungGen: 1376736K->16945K(1379648K)] 1525019K->165552K(4175872K), 0.0302570 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T20:07:27.329+0800: 6244.043: [GC [PSYoungGen: 1378417K->14480K(1376000K)] 1527024K->163721K(4172224K), 0.0262120 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
2016-02-15T20:08:21.342+0800: 6298.057: [GC [PSYoungGen: 1375952K->17232K(1379200K)] 1525193K->166633K(4175424K), 0.0319030 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T20:09:03.629+0800: 6340.343: [GC [PSYoungGen: 1378064K->13120K(1374016K)] 1527465K->162833K(4170240K), 0.0242340 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T20:09:55.651+0800: 6392.365: [GC [PSYoungGen: 1373952K->16784K(1379008K)] 1523665K->166746K(4175232K), 0.0328110 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2016-02-15T20:10:43.362+0800: 6440.076: [GC [PSYoungGen: 1376976K->15536K(1379136K)] 1526938K->165818K(4175360K), 0.0288830 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T20:11:33.199+0800: 6489.914: [GC [PSYoungGen: 1375728K->17216K(1378880K)] 1526010K->167801K(4175104K), 0.0313620 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2016-02-15T20:12:27.457+0800: 6544.171: [GC [PSYoungGen: 1377408K->16032K(1379136K)] 1527993K->166934K(4175360K), 0.0290330 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T20:13:16.974+0800: 6593.688: [GC [PSYoungGen: 1376224K->16384K(1379520K)] 1527126K->167730K(4175744K), 0.0303800 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T20:14:07.619+0800: 6644.334: [GC [PSYoungGen: 1377216K->16215K(1379392K)] 1528562K->167862K(4175616K), 0.0328100 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2016-02-15T20:14:50.609+0800: 6687.323: [GC [PSYoungGen: 1377047K->14192K(1379456K)] 1528694K->166142K(4175680K), 0.0270890 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T20:15:30.895+0800: 6727.609: [GC [PSYoungGen: 1375280K->15584K(1379584K)] 1527230K->167695K(4175808K), 0.0291200 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2016-02-15T20:16:19.365+0800: 6776.079: [GC [PSYoungGen: 1376672K->16784K(1379584K)] 1528783K->169295K(4175808K), 0.0376600 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2016-02-15T20:17:04.677+0800: 6821.391: [GC [PSYoungGen: 1378128K->15920K(1379712K)] 1530639K->168827K(4175936K), 0.0331020 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2016-02-15T20:17:48.818+0800: 6865.532: [GC [PSYoungGen: 1377264K->14624K(1379968K)] 1530171K->167788K(4176192K), 0.0279560 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T20:18:39.918+0800: 6916.633: [GC [PSYoungGen: 1376480K->17568K(1379456K)] 1529644K->170943K(4175680K), 0.0332530 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
